Name,Category,Bio,Aliases,Flights,Documents,Connections,In Black Book,Nationality
Jeffrey Epstein,other,Convicted sex offender; financier; died in custody August 2019.,Jeffrey Edward Epstein; Jeff Epstein,2036,736751,283,No,American
Ghislaine Maxwell,associate,Convicted sex trafficker serving 20 years; Epstein's closest associate and primary recruiter; Supreme Court declined appeal Oct 2025; transferred to minimum-security Texas facility; seeking Trump clemency.,G-Max,1139,20496,206,Yes,British
Sarah Kellen,associate,Epstein's primary scheduler and named co-conspirator; granted immunity in 2008 NPA; police found notes reading 'I have girls for him'; 364+ flight appearances; probable cause affidavit for sex crimes.,Sarah Kellen Vickers; Sarah Lyn Kensington,672,638,126,Yes,American
Adriana Ross,associate,Polish former model (née Mucinska) who became Epstein's assistant; named co-conspirator with NPA immunity; invoked the Fifth Amendment over 100 times in deposition.,Adriana Mucinska; A M,165,138,70,Yes,Polish
Lesley Groff,associate,"Epstein's executive assistant for 20 years; named co-conspirator with NPA immunity; coordinated his daily operations, travel, and communications network; 202,000+ document references.",Katherine Lesley Taylor; Lesley Taylor,92,202684,64,Yes,American
Emmy Tayler,associate,Personal assistant to Ghislaine Maxwell.,Emmy Taylor,200,57,52,Yes,British
Andrea Mitrovich,associate,Personal contact listed in Epstein's black book.,,93,31,51,Yes,American
Nadia Marcinkova,associate,Slovak-born Epstein associate brought to US as a teenager; named co-conspirator with immunity in 2008 NPA; became licensed pilot; revealed as federal cooperator providing information to DOJ 2018-2022.,Nadia Marcinko; Global Girl,267,1094,48,Yes,Slovakian
Larry Visoski,associate,"Epstein's chief pilot for 28 years (1991-2019); key Maxwell trial witness who called Maxwell 'Number 2'; piloted Bill Clinton on 20+ flights; logged approximately 1,000 flights.",Lawrence Visoski; Lvjet; LVJET; lvjet@aol.com,439,27466,45,Yes,American
Adam Perry Lang,celebrity,Epstein's personal chef (1999-2003); cooperated fully with FBI; traveled on Epstein's planes.,Adam PerryLang; Adam Lang,103,369,43,No,American
Eva Andersson-Dubin,socialite,"Swedish physician, former Miss Sweden 1980, ex-girlfriend of Epstein; 6 black book numbers; testified at Maxwell trial; 2026 DOJ files show 2010 email inviting Epstein to visit when teenage daughter had friends over.",Eva Dubin; Eva Andersson,70,6943,39,Yes,Swedish-American
Caren Casey,associate,Flight attendant on Epstein's private aircraft fleet.,,21,274,38,Yes,American
Celina Dubin,social,"Daughter of Glenn Dubin and Eva Andersson-Dubin, named as beneficiary of a $50M Epstein trust in 2014 and listed on 35 flights.",Celine Dubin,35,120,35,No,American
Igor Zinoviev,associate,Russian MMA fighter (UFC veteran); Epstein bodyguard who was present during victim visits.,,23,142,33,Yes,Russian-American
Larry Morrison,associate,"Epstein pilot, flew the Boeing 727 and Gulfstream",Morrison; L Morrison,98,0,33,No,American
Jean-Luc Brunel,associate,French modeling agent who co-founded MC2 with Epstein funding; died by suicide in French custody Feb 2022; French prosecutors reopened probe Feb 2026.,,51,496,32,Yes,French
Bill Clinton,politician,"42nd President; 26+ Epstein flight legs documented; testified before House Oversight Feb 27, 2026.",William Jefferson Clinton; William Clinton,63,3587,29,Yes,American
Cindy Lopez (Buklarewicz),associate,Observer/Crew member,(Buklarewicz); Cindy (Buklarewicz),37,4,29,No,
Gwendolyn Beck,associate,"Former girlfriend of Jeffrey Epstein and a figure in his social and professional network during the period of his financial rise in New York. Beck appears in documents and correspondence filed in civil proceedings related to the Epstein case. She was part of the circle of women connected to Epstein during the 1980s and 1990s, a period when Epstein cultivated relationships with wealthy and influential individuals while building his investment management operation.",,30,445,29,Yes,American
Richard Kahn,associate,Epstein estate co-executor; subpoenaed for House Oversight deposition (Feb 2026),Richard Khan; Richard D. Kahn; Dick Kahn; Rick Kahn,0,79756,28,Yes,American
Jordan Dubin,other,Son of Glenn and Eva Dubin; mentioned by Eva; Epstein was family godfather.,,21,126,27,No,American
Bill Hammond,associate,Florida pilot on Epstein's Gulfstream and Boeing 727 fleet.,BH; William Hammond,66,558,25,No,American
Jennifer Kalin,associate,Epstein associate linked to arranged marriage for his girlfriend.,Jennifer Ann Kalin,33,47,25,No,American
Doug Band,politician,Clinton's senior aide; 59 logged Epstein flights (2001-2004); Edwards affidavit cites him as traveling more than any other Clinton associate; Epstein stored Clinton's 21 phone numbers under Band's name.,Douglas Jay Band,60,683,24,Yes,American
Gary Roxburgh,associate,Contact listed in Epstein's black book.,,37,66,24,Yes,American
Alan Dershowitz,legal,Harvard Law professor; Epstein defense attorney; Giuffre later acknowledged she may have misidentified him; lost CNN defamation appeal Aug 2025.,Al Dershowitz,45,2841,23,Yes,American
Glen Dubin,business,"Highbridge Capital co-founder; flight logs, black book; named in Giuffre deposition; wife Eva facilitated Epstein's hedge fund access per February 2026 Bloomberg investigation.",Glen R. Dubin; Glenn Dubin,36,1938,23,Yes,American
Teala Davies,associate,Epstein accuser; filed civil lawsuit; advocate for survivors.,,50,238,23,No,American
Natalya Malyshev,associate,Epstein recruiter; named defendant in Sarah Ransome's civil lawsuit.,Natalya Maryshov; Natasha Malyshev; Natasha; Natalya Malyshov,7,3,21,No,Russian
Sean Koo,business,Financial professional listed in Epstein's black book.,,12,15,20,Yes,American
Casey Wasserman,business,LA28 Olympics chairman with documented Maxwell correspondence.,,16,234,19,No,American
Chris Tucker,celebrity,"American actor who flew 18 flight legs on Epstein's Boeing 727 in 2002 Africa trip with Bill Clinton; continued visiting Epstein with his son in 2013, five years after conviction.",Christopher Tucker,18,326,19,No,American
Didier Cazaudumec,staff,"Vermont-based chef who appears on 32 Epstein flights, traveling alongside Epstein and associates as household staff.",Didier B. Cazaudumec,32,0,19,No,French
Eric Nonacs,associate,Clinton Foundation Foreign Policy Advisor (2002-2007),,17,14,19,No,American
Gayle Smith,politician,Former Clinton NSC Senior Director for African Affairs and USAID Administrator.,,13,36,19,No,American
Jim Kennedy,associate,Former Clinton Deputy Press Secretary and Clinton Foundation communications director.,James Kennedy,17,333,19,No,American
Kevin Spacey,celebrity,Academy Award-winning actor; 6 Epstein flights on 2002 Clinton Africa trip; photographed with Clinton in Dec 2025 DOJ release.,Kevin Spacey Fowler,18,322,19,Yes,American
Laura Wasserman,associate,Entertainment executive and Casey Wasserman's then-wife; traveled on Epstein's plane during the 2002 Africa trip.,,16,42,19,No,American
Valdson Cotrin,associate,"Brazilian national listed in Epstein financial records as a recurring wire transfer recipient. Jeffrey Epstein made multiple wire payments to Cotrin through Deutsche Bank, and FedEx records show a shipment sent directly from Epstein to Cotrin in Paris in December 2002. Identified in customs enforcement records as a banker.",Valdson Vieira Contrin; Contrin; Valdson Contrin,14,2474,19,No,
Alfredo Rodriguez,associate,"Epstein butler who stole the black book; convicted of obstruction; died December 28, 2014.",,280,1090,18,No,American
Darren Indyke,associate,Epstein personal attorney and estate co-executor; agreed to 25-35M settlement with survivors Feb 2026; subpoenaed to testify before House Oversight Mar 2026.,,18,36010,18,Yes,American
Ira Magaziner,politician,CEO of Clinton Health Access Initiative; flew on Epstein's Africa trip.,Ira Charles Magaziner,9,20,18,Yes,American
